"","COWcode","year","CW_Onset","Fearon and Latin (2003)","Collier and Hoeffler (2004)","Hegre and Sambanis (2006)","Random Forest","Full Logistic Regression","Combined FL + CH","Insurgency","Statistically Significant"
"674",630,2002,0,0.00839877817617305,0.00318151099399713,0.00502554009180533,0.059,2.22044604925031e-16,0.00251633792684601,0.00475782527090926,0.00236844720966787
"675",630,2003,0,0.00832252799442021,0.00312701561829854,0.00499730733255361,0.057,2.22044604925031e-16,0.00246220338772736,0.0046821619119042,0.00233442579975825
"676",630,2004,0,0.00831544395780388,0.00319605010481807,0.00494698529524833,0.07,2.22044604925031e-16,0.00252237082965074,0.00476740611800988,0.00238025726871279
"677",630,2005,0,0.00828710091599461,0.00321362421781645,0.00494123689121163,0.06,2.22044604925031e-16,0.00252924725448563,0.00475341285701844,0.00238866443841096
"678",630,2006,0,0.00840789101849592,0.00327943610518146,0.00504282753670067,0.063,2.22044604925031e-16,0.00258830236943946,0.00484838754575002,0.00243481765479583
"679",630,2007,0,0.00828126718840131,0.00320702193161038,0.00494424542515339,0.063,2.22044604925031e-16,0.00252205864913056,0.00475802047187488,0.00238662712990419
"680",630,2008,0,0.00825234787765243,0.00309782188189099,0.0048930241360948,0.059,2.22044604925031e-16,0.00242962296693517,0.00462622030433345,0.00229258410842164
"681",630,2009,0,0.00828743954888316,0.00312307160331632,0.0049332519563822,0.058,2.22044604925031e-16,0.00246107376219956,0.00467240462781277,0.0023243242495987
"682",630,2010,0,0.00836802871885298,0.00310223177041148,0.00502006341274564,0.058,2.22044604925031e-16,0.00245533985583561,0.0046829337137122,0.00230481540483931
"683",630,2011,0,0.00821948203081082,0.00303968476125758,0.00486702690004486,0.061,2.22044604925031e-16,0.0023928679379859,0.00460019123732724,0.00224935765722574
"684",630,2012,0,0.00839933994176147,0.00320584421987233,0.00503690949727123,0.058,2.22044604925031e-16,0.0025398011910422,0.00477013675557684,0.00239120809739852
"685",630,2013,0,0.00832829952319996,0.00323450355399873,0.00495323649584164,0.069,2.22044604925031e-16,0.00255117105195943,0.00479868165829244,0.00240606740655531
"686",630,2014,0,0.00834702739245092,0.00320266991027105,0.00496778280825014,0.06,2.22044604925031e-16,0.0025299258085146,0.00476818717762189,0.00238693973999438
"687",640,2001,0,0.0084090790929233,0.00331244910504859,0.0050658244574686,0.068,2.22044604925031e-16,0.00261937322557391,0.00489438280541961,0.00247102197654218
"688",640,2002,0,0.00831693057392353,0.00311437713309715,0.00496106546562296,0.058,2.22044604925031e-16,0.00245895540888472,0.00468147952680662,0.00231729629528852
"689",640,2003,0,0.00834171782811238,0.00315008448871001,0.00494438465470935,0.06,2.22044604925031e-16,0.0024827423834694,0.00471479722004757,0.0023235088086128
"690",640,2004,0,0.00831666339967704,0.00317019601156739,0.00496358210878786,0.059,2.22044604925031e-16,0.00250416167321874,0.00474456407964761,0.00236975127838042
"691",640,2005,0,0.00836900370717521,0.00319979838735486,0.00504448344311181,0.057,2.22044604925031e-16,0.0025252634776297,0.00476913649282493,0.00239218114590803
